filepath,readable_date,readable_time,frames,duration,ROI
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/owl/2026-02-04_16-47-33-917432.mp4,04.02.2026,16h47m33s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/owl/2026-02-06_13-55-23-944057.mp4,06.02.2026,13h55m23s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/owl/2026-02-06_14-58-05-311136.mp4,06.02.2026,14h58m05s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/owl/2026-02-10_11-13-02-182099.mp4,10.02.2026,11h13m02s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/owl/2026-02-10_15-08-22-173889.mp4,10.02.2026,15h08m22s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/owl/2026-02-11_10-45-14-919950.mp4,11.02.2026,10h45m14s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/owl/2026-02-13_12-23-17-918961.mp4,13.02.2026,12h23m17s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-08/cyclesix/owl/2026-02-03_09-57-07-952619.mp4,03.02.2026,09h57m07s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-08/cyclesix/owl/2026-02-03_13-25-48-393898.mp4,03.02.2026,13h25m48s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-08/cyclesix/owl/2026-02-03_15-00-44-269921.mp4,03.02.2026,15h00m44s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-08/cyclesix/owl/2026-02-03_16-13-37-906391.mp4,03.02.2026,16h13m37s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-08/cyclesix/owl/2026-02-04_11-10-28-504542.mp4,04.02.2026,11h10m28s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-08/cyclesix/owl/2026-02-04_13-06-40-592463.mp4,04.02.2026,13h06m40s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-08/cyclesix/owl/2026-02-04_14-11-15-662002.mp4,04.02.2026,14h11m15s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-08/cyclesix/owl/2026-02-04_16-16-17-660662.mp4,04.02.2026,16h16m17s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-08/cyclesix/owl/2026-02-05_10-23-35-223571.mp4,05.02.2026,10h23m35s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-08/cyclesix/owl/2026-02-05_11-36-18-776887.mp4,05.02.2026,11h36m18s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-08/cyclesix/owl/2026-02-05_14-57-25-734640.mp4,05.02.2026,14h57m25s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-08/cyclesix/owl/2026-02-12_11-49-36-082404.mp4,12.02.2026,11h49m36s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/owl/2026-02-02_14-49-10-927045.mp4,02.02.2026,14h49m10s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/owl/2026-02-02_16-02-15-173755.mp4,02.02.2026,16h02m15s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/owl/2026-02-03_11-11-10-180907.mp4,03.02.2026,11h11m10s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/owl/2026-02-03_14-50-55-357072.mp4,03.02.2026,14h50m55s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/owl/2026-02-03_16-06-31-111107.mp4,03.02.2026,16h06m31s,,,
